_,station,arr,dep,dwell,runtime,train,line
1,肇庆东,-,17:17,5,_,D 225,贵广客运专线300km/h
2,三水南,17:25,17:25,0,_,D 225,贵广客运专线300km/h
3,佛山西,17:35,17:35,0,_,D 225,贵广客运专线300km/h
4,广州南,17:50,-,5,2:51,D 225,贵广客运专线300km/h
1,广州南,-,14:35,5,0:00,D 226,
2,佛山西,14:49,-,5,_,D 226,贵广客运专线300km/h
1,肇庆东,-,20:07,5,_,D 227,贵广客运专线300km/h
2,三水南,20:15,20:15,0,_,D 227,贵广客运专线300km/h
3,佛山西,20:25,20:25,0,_,D 227,贵广客运专线300km/h
4,广州南,20:40,-,5,2:48,D 227,贵广客运专线300km/h
1,广州南,-,18:11,5,0:00,D 228,
2,佛山西,18:25,-,5,_,D 228,贵广客运专线300km/h
1,惠州南,-,19:38,5,13:04,D 2281,杭深线250km/h
2,深圳坪山,19:47,19:49,2,13:15,D 2281,杭深线250km/h
3,深圳北,20:11,-,5,13:39,D 2281,杭深线250km/h
1,深圳北,-,9:44,5,0:00,D 2282,
2,深圳坪山,10:04,-,5,_,D 2282,杭深线250km/h
1,深圳北,-,10:31,5,0:00,D 2284,
2,深圳坪山,10:51,-,5,_,D 2284,杭深线250km/h
1,惠州南,-,21:56,5,12:12,D 2286,
2,深圳坪山,22:04,22:04,0,_,D 2286,杭深线250km/h
3,深圳北,22:24,-,5,12:42,D 2286,杭深线250km/h
1,惠州南,-,17:53,5,10:50,D 2287,杭深线250km/h
2,深圳坪山,18:02,18:04,2,11:05,D 2287,杭深线250km/h
3,深圳北,18:27,-,5,11:30,D 2287,杭深线250km/h
1,惠州南,-,19:49,5,12:17,D 2292,杭深线250km/h
2,深圳坪山,19:58,20:00,2,12:28,D 2292,杭深线250km/h
3,深圳北,20:23,-,5,12:53,D 2292,杭深线250km/h
1,惠州南,-,22:07,5,11:08,D 2293,
2,深圳坪山,22:15,22:15,0,_,D 2293,杭深线250km/h
3,深圳北,22:35,-,5,11:38,D 2293,杭深线250km/h
1,深圳北,-,8:16,5,0:00,D 2294,
2,深圳坪山,8:36,-,5,_,D 2294,杭深线250km/h
1,惠州南,-,13:23,5,5:39,D 2297,杭深线250km/h
2,深圳坪山,13:32,13:34,2,5:50,D 2297,杭深线250km/h
3,深圳北,13:55,-,5,6:13,D 2297,杭深线250km/h
1,惠州南,-,13:37,5,4:19,D 2301,杭深线250km/h
2,深圳坪山,13:46,13:50,4,4:32,D 2301,杭深线250km/h
3,深圳北,14:12,-,5,4:58,D 2301,杭深线250km/h
1,深圳北,-,8:36,5,0:00,D 2302,杭深线250km/h
2,深圳坪山,8:53,-,5,0:17,D 2302,杭深线250km/h
1,深圳坪山,-,18:41,5,5:55,D 2305,杭深线250km/h
2,深圳北,19:03,-,5,6:19,D 2305,杭深线250km/h
1,惠州南,-,19:13,5,4:14,D 2307,
2,深圳坪山,19:21,19:21,0,_,D 2307,杭深线250km/h
3,深圳北,19:36,-,5,4:39,D 2307,杭深线250km/h
1,深圳北,-,8:47,5,0:00,D 2308,
2,深圳坪山,9:07,-,5,_,D 2308,杭深线250km/h
1,惠东,-,12:17,5,4:15,D 2311,
2,惠州南,12:29,12:31,2,4:29,D 2311,杭深线250km/h
3,深圳坪山,12:39,12:39,0,_,D 2311,杭深线250km/h
4,深圳北,13:00,-,5,5:00,D 2311,杭深线250km/h
1,深圳北,-,16:50,5,0:00,D 2312,
2,深圳坪山,17:10,-,5,_,D 2312,杭深线250km/h
1,惠州南,-,11:59,5,3:39,D 2313,
2,深圳坪山,12:07,12:07,0,_,D 2313,杭深线250km/h
3,深圳北,12:28,-,5,4:10,D 2313,杭深线250km/h
1,深圳北,-,17:15,5,0:00,D 2314,
2,深圳坪山,17:32,-,5,0:17,D 2314,杭深线250km/h
1,惠州南,-,16:00,5,7:41,D 2321,
2,深圳坪山,16:08,16:08,0,_,D 2321,杭深线250km/h
3,深圳北,16:27,-,5,8:14,D 2321,杭深线250km/h
1,深圳北,-,13:30,5,0:00,D 2322,
2,深圳坪山,13:50,-,5,_,D 2322,杭深线250km/h
1,惠州南,-,15:09,5,7:06,D 2325,杭深线250km/h
2,深圳坪山,15:18,15:20,2,7:17,D 2325,杭深线250km/h
3,深圳北,15:42,-,5,7:41,D 2325,杭深线250km/h
1,深圳北,-,17:48,5,0:00,D 2328,杭深线250km/h
2,深圳坪山,18:05,-,5,0:17,D 2328,杭深线250km/h
1,惠州南,-,14:22,5,3:06,D 2329,杭深线250km/h
2,深圳坪山,14:31,14:33,2,3:27,D 2329,杭深线250km/h
3,深圳北,14:56,-,5,3:52,D 2329,杭深线250km/h
1,深圳北,-,15:19,5,0:00,D 2330,
2,深圳坪山,15:39,-,5,_,D 2330,杭深线250km/h
1,深圳坪山,-,17:03,5,4:35,D 2331,杭深线250km/h
2,深圳北,17:25,-,5,4:59,D 2331,杭深线250km/h
1,深圳北,-,14:53,5,0:00,D 2336,杭深线250km/h
2,深圳坪山,15:10,-,5,0:17,D 2336,杭深线250km/h
1,惠州南,-,14:49,5,3:00,D 2341,
2,深圳坪山,14:57,14:57,0,_,D 2341,杭深线250km/h
3,深圳北,15:17,-,5,3:30,D 2341,杭深线250km/h
1,深圳北,-,8:05,5,0:00,D 2342,
2,深圳坪山,8:25,-,5,_,D 2342,杭深线250km/h
1,惠州南,-,16:06,5,3:00,D 2345,
2,深圳坪山,16:14,16:14,0,_,D 2345,杭深线250km/h
3,深圳北,16:32,-,5,3:28,D 2345,杭深线250km/h
1,惠州南,-,15:19,5,3:04,D 2349,杭深线250km/h
2,深圳坪山,15:28,15:34,6,3:20,D 2349,杭深线250km/h
3,深圳北,15:57,-,5,3:49,D 2349,杭深线250km/h
1,深圳北,-,7:43,5,0:00,D 2350,
2,深圳坪山,8:00,-,5,0:17,D 2350,杭深线250km/h
1,惠东,-,15:21,5,3:14,D 2351,
2,惠州南,15:32,15:32,0,_,D 2351,杭深线250km/h
3,深圳坪山,15:38,15:40,2,3:33,D 2351,杭深线250km/h
4,深圳北,16:02,-,5,3:57,D 2351,杭深线250km/h
1,深圳北,-,13:36,5,0:00,D 2354,
2,深圳坪山,13:56,-,5,_,D 2354,杭深线250km/h
1,惠州南,-,11:53,5,3:37,D 2355,
2,深圳坪山,12:01,12:01,0,_,D 2355,杭深线250km/h
3,深圳北,12:21,-,5,4:12,D 2355,杭深线250km/h
1,深圳北,-,14:26,5,0:00,D 2356,
2,深圳坪山,14:46,-,5,_,D 2356,杭深线250km/h
1,惠州南,-,13:31,5,5:45,D 2357,杭深线250km/h
2,深圳坪山,13:40,13:45,5,5:57,D 2357,杭深线250km/h
3,深圳北,14:06,-,5,6:23,D 2357,杭深线250km/h
1,深圳北,-,13:09,5,0:00,D 2358,杭深线250km/h
2,深圳坪山,13:26,-,5,0:17,D 2358,杭深线250km/h
1,惠东,-,14:30,5,7:08,D 2361,
2,惠州南,14:42,14:44,2,7:22,D 2361,杭深线250km/h
3,深圳坪山,14:52,14:52,0,_,D 2361,杭深线250km/h
4,深圳北,15:12,-,5,7:52,D 2361,杭深线250km/h
1,深圳北,-,12:21,5,0:00,D 2362,
2,深圳坪山,12:41,-,5,_,D 2362,杭深线250km/h
1,肇庆东,-,16:17,5,3:01,D 2363,
2,三水南,16:26,16:26,0,_,D 2363,贵广客运专线300km/h
3,佛山西,16:38,16:44,6,3:24,D 2363,贵广客运专线300km/h
4,广州南,17:04,-,5,3:50,D 2363,贵广客运专线300km/h
1,广州南,-,9:14,5,0:00,D 2364,
2,佛山西,9:30,-,5,_,D 2364,贵广客运专线300km/h
1,广宁,-,15:49,5,2:06,D 2367,
2,肇庆东,16:02,16:02,0,_,D 2367,贵广客运专线300km/h
3,三水南,16:09,16:09,0,_,D 2367,贵广客运专线300km/h
4,佛山西,16:22,16:25,3,2:41,D 2367,贵广客运专线300km/h
5,广州南,16:43,16:50,7,3:02,D 2367,贵广客运专线300km/h
6,北滘,16:56,16:56,0,_,D 2367,广珠城际线A200km/h
7,顺德,16:58,16:58,0,_,D 2367,广珠城际线A200km/h
8,顺德学院,17:01,17:01,0,_,D 2367,广珠城际线A200km/h
9,容桂,17:04,17:04,0,_,D 2367,广珠城际线A200km/h
10,南头,17:06,17:06,0,_,D 2367,广珠城际线A200km/h
11,小榄,17:09,17:09,0,_,D 2367,广珠城际线A200km/h
12,中山北,17:17,17:17,0,_,D 2367,广珠城际线B200km/h
13,中山,17:19,17:21,2,3:38,D 2367,广珠城际线B200km/h
14,南朗,17:27,17:27,0,_,D 2367,广珠城际线B200km/h
15,珠海北,17:31,17:31,0,_,D 2367,广珠城际线B200km/h
16,唐家湾,17:33,17:33,0,_,D 2367,广珠城际线B200km/h
17,明珠,17:38,17:38,0,_,D 2367,广珠城际线B200km/h
18,珠海,17:47,-,5,4:06,D 2367,广珠城际线B200km/h
1,珠海,-,9:10,5,0:00,D 2368,
2,明珠,9:17,9:17,0,_,D 2368,广珠城际线B200km/h
3,唐家湾,9:22,9:22,0,_,D 2368,广珠城际线B200km/h
4,珠海北,9:24,9:24,0,_,D 2368,广珠城际线B200km/h
5,南朗,9:28,9:28,0,_,D 2368,广珠城际线B200km/h
6,中山,9:33,9:35,2,0:23,D 2368,广珠城际线B200km/h
7,中山北,9:39,9:39,0,_,D 2368,广珠城际线B200km/h
8,小榄,9:45,9:45,0,_,D 2368,广珠城际线B200km/h
9,南头,9:50,9:50,0,_,D 2368,广珠城际线A200km/h
10,容桂,9:52,9:52,0,_,D 2368,广珠城际线A200km/h
11,顺德学院,9:55,9:55,0,_,D 2368,广珠城际线A200km/h
12,顺德,9:58,9:58,0,_,D 2368,广珠城际线A200km/h
13,北滘,10:00,10:00,0,_,D 2368,广珠城际线A200km/h
14,广州南,10:03,10:11,8,0:53,D 2368,广珠城际线A200km/h
15,佛山西,10:27,-,5,_,D 2368,贵广客运专线300km/h
1,广州东,-,17:06,5,0:00,D 2395,
2,石牌,17:10,17:10,0,_,D 2395,广深线140~180km/h
3,新塘南,17:20,17:20,0,_,D 2395,广深线140~180km/h
4,东莞,17:30,17:30,0,_,D 2395,广深线140~180km/h
5,常平,17:36,17:36,0,_,D 2395,广深线140~180km/h
6,樟木头,17:40,17:40,0,_,D 2395,广深线140~180km/h
7,东莞南,17:51,17:54,3,0:45,D 2395,樟木头-东莞南跨线
8,光明城,18:04,18:06,2,0:58,D 2395,京港高速线赣深段350km/h
9,深圳北,18:22,18:28,6,1:16,D 2395,广深港高速线350km/h
10,深圳坪山,18:45,-,5,1:39,D 2395,杭深线250km/h
1,东莞南,-,12:26,5,0:00,D 2401,
2,光明城,12:32,12:32,0,_,D 2401,京港高速线赣深段350km/h
3,深圳北,12:47,12:58,11,0:21,D 2401,广深港高速线350km/h
4,深圳坪山,13:18,-,5,_,D 2401,杭深线250km/h
1,惠州南,-,9:31,5,2:57,D 2403,
2,深圳坪山,9:39,9:39,0,_,D 2403,杭深线250km/h
3,深圳北,9:58,10:05,7,3:26,D 2403,杭深线250km/h
4,光明城,10:16,10:16,0,_,D 2403,广深港高速线350km/h
5,东莞南,10:23,-,5,3:51,D 2403,京港高速线赣深段350km/h
1,东莞南,-,13:23,5,0:00,D 2409,
2,光明城,13:29,13:29,0,_,D 2409,京港高速线赣深段350km/h
3,深圳北,13:43,13:51,8,0:20,D 2409,广深港高速线350km/h
4,深圳坪山,14:08,-,5,0:45,D 2409,杭深线250km/h
1,惠州南,-,12:05,5,4:49,D 2411,
2,深圳坪山,12:13,12:13,0,_,D 2411,杭深线250km/h
3,深圳北,12:34,12:39,5,5:20,D 2411,杭深线250km/h
4,光明城,12:50,12:50,0,_,D 2411,广深港高速线350km/h
5,东莞南,12:57,-,5,5:43,D 2411,京港高速线赣深段350km/h
1,东莞南,-,10:49,5,0:00,D 2421,
2,光明城,10:55,10:55,0,_,D 2421,京港高速线赣深段350km/h
3,深圳北,11:10,11:17,7,0:21,D 2421,广深港高速线350km/h
4,深圳坪山,11:37,-,5,_,D 2421,杭深线250km/h
1,广宁,-,12:28,5,4:16,D 2803,
2,肇庆东,12:45,12:47,2,4:35,D 2803,贵广客运专线300km/h
3,三水南,12:58,13:04,6,4:48,D 2803,贵广客运专线300km/h
4,佛山西,13:14,13:14,0,_,D 2803,贵广客运专线300km/h
5,广州南,13:33,-,5,5:23,D 2803,贵广客运专线300km/h
1,广州南,-,7:02,5,0:00,D 2804,
2,佛山西,7:21,7:23,2,0:19,D 2804,贵广客运专线300km/h
3,三水南,7:33,7:33,0,_,D 2804,贵广客运专线300km/h
4,肇庆东,7:40,7:40,0,_,D 2804,贵广客运专线300km/h
5,广宁,7:51,7:51,0,_,D 2804,贵广客运专线300km/h
6,怀集,8:08,-,5,1:06,D 2804,贵广客运专线300km/h
1,广州南,-,8:42,5,0:00,D 2806,
2,佛山西,8:58,8:58,0,_,D 2806,贵广客运专线300km/h
3,三水南,9:06,9:06,0,_,D 2806,贵广客运专线300km/h
4,肇庆东,9:13,9:13,0,_,D 2806,贵广客运专线300km/h
5,广宁,9:24,9:24,0,_,D 2806,贵广客运专线300km/h
6,怀集,9:43,-,5,1:01,D 2806,贵广客运专线300km/h
1,佛山西,-,13:39,5,5:07,D 2807,贵广客运专线300km/h
2,广州南,13:59,-,5,5:29,D 2807,贵广客运专线300km/h
1,肇庆东,-,13:58,5,4:39,D 2809,
2,三水南,14:07,14:07,0,_,D 2809,贵广客运专线300km/h
3,佛山西,14:15,14:15,0,_,D 2809,贵广客运专线300km/h
4,广州南,14:34,-,5,5:29,D 2809,贵广客运专线300km/h
1,广宁,-,13:53,5,5:55,D 2811,
2,肇庆东,14:06,14:06,0,_,D 2811,贵广客运专线300km/h
3,三水南,14:13,14:13,0,_,D 2811,贵广客运专线300km/h
4,佛山西,14:25,14:27,2,6:29,D 2811,贵广客运专线300km/h
5,广州南,14:47,-,5,6:51,D 2811,贵广客运专线300km/h
1,广州南,-,7:46,5,0:00,D 2812,
2,佛山西,8:02,8:02,0,_,D 2812,贵广客运专线300km/h
3,三水南,8:10,8:10,0,_,D 2812,贵广客运专线300km/h
4,肇庆东,8:17,8:17,0,_,D 2812,贵广客运专线300km/h
5,广宁,8:28,8:28,0,_,D 2812,贵广客运专线300km/h
6,怀集,8:39,-,5,_,D 2812,贵广客运专线300km/h
1,广宁,-,14:50,5,6:26,D 2815,
2,肇庆东,15:07,15:09,2,6:45,D 2815,贵广客运专线300km/h
3,三水南,15:18,15:18,0,_,D 2815,贵广客运专线300km/h
4,佛山西,15:26,15:26,0,_,D 2815,贵广客运专线300km/h
5,广州南,15:48,-,5,7:26,D 2815,贵广客运专线300km/h
1,广州南,-,11:07,5,0:00,D 2818,
2,佛山西,11:23,-,5,_,D 2818,贵广客运专线300km/h
1,怀集,-,20:07,5,4:08,D 2819,
2,广宁,20:20,20:20,0,_,D 2819,贵广客运专线300km/h
3,肇庆东,20:36,20:38,2,4:39,D 2819,贵广客运专线300km/h
4,三水南,20:47,20:47,0,_,D 2819,贵广客运专线300km/h
5,佛山西,20:55,20:55,0,_,D 2819,贵广客运专线300km/h
6,广州南,21:14,-,5,5:17,D 2819,贵广客运专线300km/h
1,广州南,-,10:05,5,0:00,D 2820,
2,佛山西,10:21,10:21,0,_,D 2820,贵广客运专线300km/h
3,三水南,10:29,10:29,0,_,D 2820,贵广客运专线300km/h
4,肇庆东,10:40,10:42,2,0:35,D 2820,贵广客运专线300km/h
5,广宁,10:55,10:55,0,_,D 2820,贵广客运专线300km/h
6,怀集,11:11,-,5,1:06,D 2820,贵广客运专线300km/h
1,肇庆东,-,14:55,5,4:34,D 2823,
2,三水南,15:04,15:04,0,_,D 2823,贵广客运专线300km/h
3,佛山西,15:15,15:17,2,4:56,D 2823,贵广客运专线300km/h
4,广州南,15:38,-,5,5:19,D 2823,贵广客运专线300km/h
1,肇庆东,-,19:07,5,4:31,D 2825,
2,三水南,19:16,19:16,0,_,D 2825,贵广客运专线300km/h
3,佛山西,19:26,19:30,4,4:52,D 2825,贵广客运专线300km/h
4,广州南,19:50,-,5,5:16,D 2825,贵广客运专线300km/h
1,广州南,-,14:54,5,0:00,D 2830,
2,佛山西,15:10,15:10,0,_,D 2830,贵广客运专线300km/h
3,三水南,15:18,15:18,0,_,D 2830,贵广客运专线300km/h
4,肇庆东,15:25,15:25,0,_,D 2830,贵广客运专线300km/h
5,广宁,15:36,15:36,0,_,D 2830,贵广客运专线300km/h
6,怀集,15:47,-,5,_,D 2830,贵广客运专线300km/h
1,广宁,-,22:03,5,6:34,D 2831,
2,肇庆东,22:19,22:21,2,6:56,D 2831,贵广客运专线300km/h
3,三水南,22:30,22:30,0,_,D 2831,贵广客运专线300km/h
4,佛山西,22:41,22:44,3,7:18,D 2831,贵广客运专线300km/h
5,广州南,23:05,-,5,7:42,D 2831,贵广客运专线300km/h
1,广州南,-,15:15,5,0:00,D 2834,
2,佛山西,15:31,-,5,_,D 2834,贵广客运专线300km/h
1,肇庆东,-,22:06,5,4:41,D 2837,
2,三水南,22:15,22:15,0,_,D 2837,贵广客运专线300km/h
3,佛山西,22:25,22:29,4,5:02,D 2837,贵广客运专线300km/h
4,广州南,22:49,-,5,5:26,D 2837,贵广客运专线300km/h
1,广州南,-,16:44,5,0:00,D 2838,
2,佛山西,17:03,-,5,0:19,D 2838,贵广客运专线300km/h
1,广州南,-,16:52,5,0:00,D 2840,
2,佛山西,17:11,-,5,0:19,D 2840,贵广客运专线300km/h
1,怀集,-,22:08,5,4:12,D 2841,
2,广宁,22:21,22:21,0,_,D 2841,贵广客运专线300km/h
3,肇庆东,22:37,22:39,2,4:43,D 2841,贵广客运专线300km/h
4,三水南,22:48,22:48,0,_,D 2841,贵广客运专线300km/h
5,佛山西,22:58,23:00,2,5:04,D 2841,贵广客运专线300km/h
6,广州南,23:20,-,5,5:26,D 2841,贵广客运专线300km/h
1,广州南,-,18:05,5,0:00,D 2842,
2,佛山西,18:21,-,5,_,D 2842,贵广客运专线300km/h
1,广州南,-,15:56,5,0:00,D 2844,贵广客运专线300km/h
2,佛山西,16:15,-,5,0:19,D 2844,贵广客运专线300km/h
1,江门,-,6:46,5,0:00,D 2846,
2,新会,6:51,6:51,0,_,D 2846,江门线-深湛线200km/h
3,江门东,6:53,6:53,0,_,D 2846,江门线-深湛线200km/h
4,古镇,6:57,6:57,0,_,D 2846,江门线-深湛线200km/h
5,小榄,7:00,7:00,0,_,D 2846,江门线-深湛线200km/h
6,南头,7:05,7:05,0,_,D 2846,广珠城际线A200km/h
7,容桂,7:07,7:07,0,_,D 2846,广珠城际线A200km/h
8,顺德学院,7:10,7:10,0,_,D 2846,广珠城际线A200km/h
9,顺德,7:13,7:13,0,_,D 2846,广珠城际线A200km/h
10,北滘,7:15,7:15,0,_,D 2846,广珠城际线A200km/h
11,广州南,7:25,7:30,5,0:39,D 2846,广珠城际线A200km/h
12,佛山西,7:46,7:46,0,_,D 2846,贵广客运专线300km/h
13,三水南,7:54,7:54,0,_,D 2846,贵广客运专线300km/h
14,肇庆东,8:04,8:06,2,1:18,D 2846,贵广客运专线300km/h
15,广宁,8:23,8:25,2,1:37,D 2846,贵广客运专线300km/h
16,怀集,8:41,-,5,1:55,D 2846,贵广客运专线300km/h
1,佛山西,-,22:17,5,6:56,D 2848,贵广客运专线300km/h
2,广州南,22:38,-,5,7:22,D 2848,贵广客运专线300km/h
1,广州,-,11:20,5,0:00,D 2877,广深线140~180km/h
2,佛山西,11:42,-,5,0:22,D 2877,广深线140~180km/h
1,肇庆东,-,18:08,5,4:56,D 2879,贵广客运专线300km/h
2,三水南,18:19,18:21,2,5:09,D 2879,贵广客运专线300km/h
3,佛山西,18:33,18:35,2,5:23,D 2879,贵广客运专线300km/h
4,广州,18:57,-,5,5:47,D 2879,广深线140~180km/h
1,广州南,-,17:19,5,0:00,D 2936,
2,佛山西,17:38,17:40,2,0:19,D 2936,贵广客运专线300km/h
3,三水南,17:50,17:50,0,_,D 2936,贵广客运专线300km/h
4,肇庆东,17:57,17:57,0,_,D 2936,贵广客运专线300km/h
5,广宁,18:08,18:08,0,_,D 2936,贵广客运专线300km/h
6,怀集,18:25,-,5,1:06,D 2936,贵广客运专线300km/h
1,广宁,-,10:22,5,3:15,D 2938,
2,肇庆东,10:35,10:35,0,_,D 2938,贵广客运专线300km/h
3,三水南,10:42,10:42,0,_,D 2938,贵广客运专线300km/h
4,佛山西,10:50,10:50,0,_,D 2938,贵广客运专线300km/h
5,广州南,11:11,-,5,4:06,D 2938,贵广客运专线300km/h
1,广州南,-,9:11,5,0:00,D 2944,
2,佛山西,9:27,-,5,_,D 2944,贵广客运专线300km/h
1,怀集,-,17:10,5,3:19,D 2946,
2,广宁,17:26,17:28,2,3:43,D 2946,贵广客运专线300km/h
3,肇庆东,17:45,17:47,2,4:02,D 2946,贵广客运专线300km/h
4,三水南,17:56,17:56,0,_,D 2946,贵广客运专线300km/h
5,佛山西,18:04,18:04,0,_,D 2946,贵广客运专线300km/h
6,广州南,18:23,-,5,4:40,D 2946,贵广客运专线300km/h
1,广州南,-,11:34,5,0:00,D 2948,
2,佛山西,11:50,11:50,0,_,D 2948,贵广客运专线300km/h
3,三水南,11:58,11:58,0,_,D 2948,贵广客运专线300km/h
4,肇庆东,12:10,12:12,2,0:36,D 2948,贵广客运专线300km/h
5,广宁,12:25,12:25,0,_,D 2948,贵广客运专线300km/h
6,怀集,12:42,-,5,1:08,D 2948,贵广客运专线300km/h
1,怀集,-,18:53,5,3:01,D 2950,
2,广宁,19:06,19:06,0,_,D 2950,贵广客运专线300km/h
3,肇庆东,19:17,19:17,0,_,D 2950,贵广客运专线300km/h
4,三水南,19:29,19:31,2,3:39,D 2950,贵广客运专线300km/h
5,佛山西,19:44,19:46,2,3:54,D 2950,贵广客运专线300km/h
6,广州南,20:05,-,5,4:15,D 2950,贵广客运专线300km/h
1,广州南,-,13:13,5,0:00,D 2952,
2,佛山西,13:29,13:29,0,_,D 2952,贵广客运专线300km/h
3,三水南,13:37,13:37,0,_,D 2952,贵广客运专线300km/h
4,肇庆东,13:44,13:44,0,_,D 2952,贵广客运专线300km/h
5,广宁,13:55,13:55,0,_,D 2952,贵广客运专线300km/h
6,怀集,14:12,-,5,0:59,D 2952,贵广客运专线300km/h
1,怀集,-,11:38,5,3:21,D 2954,
2,广宁,11:51,11:51,0,_,D 2954,贵广客运专线300km/h
3,肇庆东,12:07,12:09,2,3:52,D 2954,贵广客运专线300km/h
4,三水南,12:18,12:18,0,_,D 2954,贵广客运专线300km/h
5,佛山西,12:29,12:31,2,4:14,D 2954,贵广客运专线300km/h
6,广州南,12:51,-,5,4:36,D 2954,贵广客运专线300km/h
1,广州南,-,17:31,5,0:00,D 2956,
2,佛山西,17:47,-,5,_,D 2956,贵广客运专线300km/h
1,肇庆东,-,16:28,5,3:34,D 2958,
2,三水南,16:37,16:37,0,_,D 2958,贵广客运专线300km/h
3,佛山西,16:48,16:50,2,3:57,D 2958,贵广客运专线300km/h
4,广州南,17:10,-,5,4:19,D 2958,贵广客运专线300km/h
1,怀集,-,9:38,5,1:36,D 2959,
2,广宁,9:51,9:51,0,_,D 2959,贵广客运专线300km/h
3,肇庆东,10:07,10:09,2,2:07,D 2959,贵广客运专线300km/h
4,三水南,10:18,10:18,0,_,D 2959,贵广客运专线300km/h
5,佛山西,10:26,10:26,0,_,D 2959,贵广客运专线300km/h
6,广州南,10:45,-,5,2:45,D 2959,贵广客运专线300km/h
1,广州南,-,13:23,5,0:00,D 2960,
2,佛山西,13:42,-,5,0:19,D 2960,贵广客运专线300km/h
1,广宁,-,12:15,5,2:05,D 2961,
2,肇庆东,12:32,12:34,2,2:24,D 2961,贵广客运专线300km/h
3,三水南,12:43,12:43,0,_,D 2961,贵广客运专线300km/h
4,佛山西,12:53,12:55,2,2:45,D 2961,贵广客运专线300km/h
5,广州南,13:15,-,5,3:07,D 2961,贵广客运专线300km/h
1,广州南,-,9:38,5,0:00,D 2962,
2,佛山西,9:56,9:58,2,0:18,D 2962,贵广客运专线300km/h
3,三水南,10:08,10:08,0,_,D 2962,贵广客运专线300km/h
4,肇庆东,10:15,10:15,0,_,D 2962,贵广客运专线300km/h
5,广宁,10:26,10:26,0,_,D 2962,贵广客运专线300km/h
6,怀集,10:43,-,5,1:05,D 2962,贵广客运专线300km/h
1,三水南,-,14:57,5,2:01,D 2965,
2,佛山西,15:07,15:07,0,_,D 2965,贵广客运专线300km/h
3,广州南,15:27,-,5,2:33,D 2965,贵广客运专线300km/h
1,广州南,-,7:07,5,0:00,D 2966,
2,佛山西,7:26,-,5,0:19,D 2966,贵广客运专线300km/h
1,怀集,-,9:18,5,1:44,D 2967,
2,广宁,9:31,9:31,0,_,D 2967,贵广客运专线300km/h
3,肇庆东,9:47,9:49,2,2:15,D 2967,贵广客运专线300km/h
4,三水南,9:58,9:58,0,_,D 2967,贵广客运专线300km/h
5,佛山西,10:08,10:10,2,2:36,D 2967,贵广客运专线300km/h
6,广州南,10:31,-,5,2:59,D 2967,贵广客运专线300km/h
1,广州南,-,20:18,5,0:00,D 2968,贵广客运专线300km/h
2,佛山西,20:37,-,5,0:19,D 2968,贵广客运专线300km/h
1,广州南,-,20:24,5,0:00,D 2970,
2,佛山西,20:43,20:45,2,0:19,D 2970,贵广客运专线300km/h
3,三水南,20:55,20:55,0,_,D 2970,贵广客运专线300km/h
4,肇庆东,21:05,21:07,2,0:41,D 2970,贵广客运专线300km/h
5,广宁,21:20,21:20,0,_,D 2970,贵广客运专线300km/h
6,怀集,21:36,-,5,1:12,D 2970,贵广客运专线300km/h
1,广州南,-,13:35,5,0:00,D 2972,
2,佛山西,13:51,13:51,0,_,D 2972,贵广客运专线300km/h
3,三水南,13:59,13:59,0,_,D 2972,贵广客运专线300km/h
4,肇庆东,14:10,14:16,6,0:35,D 2972,贵广客运专线300km/h
5,广宁,14:33,14:35,2,0:58,D 2972,贵广客运专线300km/h
6,怀集,14:51,-,5,1:16,D 2972,贵广客运专线300km/h
1,肇庆东,-,20:20,5,2:48,D 2975,
2,三水南,20:32,20:33,1,3:02,D 2975,贵广客运专线300km/h
3,佛山西,20:43,20:43,0,_,D 2975,贵广客运专线300km/h
4,广州南,21:02,-,5,3:32,D 2975,贵广客运专线300km/h
1,广州南,-,15:46,5,0:00,D 2976,
2,佛山西,16:02,-,5,_,D 2976,贵广客运专线300km/h
1,怀集,-,20:57,5,1:36,D 2979,
2,广宁,21:10,21:10,0,_,D 2979,贵广客运专线300km/h
3,肇庆东,21:21,21:21,0,_,D 2979,贵广客运专线300km/h
4,三水南,21:28,21:28,0,_,D 2979,贵广客运专线300km/h
5,佛山西,21:42,21:48,6,2:37,D 2979,贵广客运专线300km/h
6,广州南,22:08,-,5,3:03,D 2979,贵广客运专线300km/h
1,肇庆东,-,20:30,5,2:01,D 2981,
2,三水南,20:39,20:39,0,_,D 2981,贵广客运专线300km/h
3,佛山西,20:47,20:47,0,_,D 2981,贵广客运专线300km/h
4,广州南,21:07,-,5,2:44,D 2981,贵广客运专线300km/h
1,广州南,-,18:52,5,0:00,D 2984,
2,佛山西,19:08,-,5,_,D 2984,贵广客运专线300km/h
1,广宁,-,9:42,5,1:55,D 2985,
2,肇庆东,9:55,9:55,0,_,D 2985,贵广客运专线300km/h
3,三水南,10:06,10:08,2,2:21,D 2985,贵广客运专线300km/h
4,佛山西,10:18,10:18,0,_,D 2985,贵广客运专线300km/h
5,广州南,10:37,-,5,2:52,D 2985,贵广客运专线300km/h
1,肇庆东,-,16:13,5,4:02,D 2987,
2,三水南,16:22,16:22,0,_,D 2987,贵广客运专线300km/h
3,佛山西,16:33,16:39,6,4:24,D 2987,贵广客运专线300km/h
4,广州南,16:59,-,5,4:50,D 2987,贵广客运专线300km/h
1,怀集,-,9:03,5,1:36,D 2989,
